MsgID.GLOBAL_POSITION,1520468469.7188978,-121.9939377,37.4137408,0.0460000
MsgID.LOCAL_VELOCITY,1520468469.7188978,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520468469.7190771,0.0154250,-0.1102374,-0.0463576
MsgID.LOCAL_VELOCITY,1520468469.7190771,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520468469.7191958,-121.9939364,37.4137417,0.0770000
MsgID.LOCAL_VELOCITY,1520468469.7191958,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520468469.7193069,0.1128581,0.0048843,-0.0774256
MsgID.LOCAL_VELOCITY,1520468469.7193069,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520468469.7194140,-121.9939379,37.4137413,0.0980000
MsgID.LOCAL_VELOCITY,1520468469.7194140,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520468469.7195179,0.0657875,-0.1289363,-0.0982622
MsgID.LOCAL_VELOCITY,1520468469.7195179,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520468469.7197151,False,False
MsgID.GLOBAL_HOME,1520468469.7202401,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520468469.7203720,-121.9939355,37.4137396,0.1070000
MsgID.LOCAL_VELOCITY,1520468469.7203720,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520468469.7204950,-0.1172236,0.0828876,-0.1079594
MsgID.LOCAL_VELOCITY,1520468469.7204950,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520468469.7206039,-121.9939357,37.4137414,0.1040000
MsgID.LOCAL_VELOCITY,1520468469.7206039,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520468469.7207110,0.0828618,0.0644578,-0.1047844
MsgID.LOCAL_VELOCITY,1520468469.7207110,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520468469.7208152,-121.9939361,37.4137415,0.0910000
MsgID.LOCAL_VELOCITY,1520468469.7208152,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520468469.7209501,0.0853129,0.0368079,-0.0909065
MsgID.LOCAL_VELOCITY,1520468469.7209501,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520468469.7210560,-121.9939344,37.4137407,0.0720000
MsgID.LOCAL_VELOCITY,1520468469.7210560,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520468469.7211649,0.0003040,0.1808213,-0.0727747
MsgID.LOCAL_VELOCITY,1520468469.7211649,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520468469.7213190,False,False
MsgID.GLOBAL_HOME,1520468469.7215900,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520468469.7216861,-121.9939355,37.4137410,0.0530000
MsgID.LOCAL_VELOCITY,1520468469.7216861,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520468469.7217929,0.0314774,0.0848020,-0.0539448
MsgID.LOCAL_VELOCITY,1520468469.7217929,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520468469.8491330,-121.9939359,37.4137416,0.1000000
MsgID.LOCAL_VELOCITY,1520468469.8491330,0.0000000,0.0000000,-1.0600000
MsgID.LOCAL_POSITION,1520468469.8492880,-0.0409072,-0.1206217,-0.1001885
MsgID.LOCAL_VELOCITY,1520468469.8492880,-0.0001602,-0.0017093,-1.0685294
MsgID.GLOBAL_POSITION,1520468470.0993879,-121.9939379,37.4137415,0.6040000
